办公室 / 辦公室,ban4gong1shi4<br>"noun 1 office 2 administrative department of a unit"
卫生间 / 衛生間,wei4sheng1jian1<br>"toilet (room)"
卫生 / 衛生,wei4sheng1<br>"noun hygiene; health; sanitation 
adjective sanitary; hygienic; good for one's health"
告诉 / 告訴,gao4su5<br>"verb tell; let know"
高速 / 高速,gao1su4<br>"noun 1 high (or fast) speed (opp. 低速) 2 abbreviation expressway; freeway"
出现 / 出現,chu1xian4<br>"verb appear; arise; emerge"
解决 / 解決,jie3jue2<br>"verb 1 solve; resolve; settle 2 dispose of; finish off"
极 / 極,ji2<br>"noun 1 utmost point; extremity 2 pole 
verb literary do one's utmost 
adjective extreme; of the highest degree 
adverb extremely; to the greatest extent; exceedingly"
注意 / 注意,zhu4yi4<br>"(V) to pay attention to"
到 / 到,dao4<br>"1 arrive; reach 火车到站了。 Huǒchē dào zhàn le. The train has arrived at the station. 到了多少人？ Dào le duōshao rén？ How many people were present? 时间到了。 Shíjiān dào le. Time's up. 到! Dào! (answer to roll call) Here! 2 go to; leave for 到兰州去 Dào Lánzhōu qù go to Lanzhou 到群众中去 dào qúnzhòng zhōng qù go among the masses; go into the midst of the masses 3 preposition up until; up to 从星期三到星期五 cóng Xīngqīsān dào Xīngqīwǔ from Wednesday to Friday 到目前为止 Dào mùqián wéizhǐ up to the present; until now; so far 工作到深夜 gōngzuò dào shēnyè work late into the night 温度降到零下二十度。 Wēndù jiàng dào língxià èrshí dù. The temperature dropped to minus twenty degrees centigrade. 4 (used as a verb complement to show the result of an action) 办得到 bàndedào can be done 说到做到 shuōdàozuòdào be as good as one's word 想不到你来了。 Xiǎng bù dào nǐ lái le. I didn't expect you would come. 我到处找那本书, 终于在床底下找到了。 Wǒ dàochù zhǎo nà běn shū, zhōngyú zài chuáng dǐxia zhǎodào le. I looked everywhere for the book, and finally found it under the bed. 5 thoughtful; considerate 不到之处请原谅。 Bù dào zhī chù qǐng yuánliàng. Please excuse me if I have been inconsiderate in any way."
哭 / 哭,ku1<br>"(V) to cry"
办法 / 辦法,ban4fa3<br>"noun way; means; measure"
块 / 塊,kuai4<br>"1 piece; lump; chunk 糖块儿 Táng kuàir hard candy (or fruit drops) or lumps of sugar 把肉切成块儿 bǎ ròu qiē chéng kuàir cut the meat into cubes 2 measure word piece; lump 两块肥皂 liǎng kuài féizào two cakes of soap 一块面包 yī kuài miànbāo a piece or hunk of bread 一块手表 yī kuài shǒubiǎo a wrist watch 一块试验田 yī kuài shìyàntián an experimental plot (of land) 一块桌布 yī kuài zhuōbù a table cloth 一块云彩 yī kuài yúncai a cloud 一块黑疤 yī kuài hēi bā a black scar 3 measure word inf. (for gold or silver dollars, Renminbi, and certain paper money) 两块银洋 liǎng kuài yínyáng two silver dollars 三块钱 sān kuài qián three yuan 一千块港币1,000 yīqiān kuài Gǎngbì 1, 000 Hong Kong dollars"
或者 / 或者,huo4zhe3<br>"(Conj) or"
还是 / 還是,hai2shi5<br>"adverb 1 still; yet 2 [expressing a preference for an alternative] 3 [expressing realization or discovery] 
conjunction 1 or 2 no matter what; whether...or...; regardless of"
让 / 讓,rang4<br>"verb 1 give way; give ground; yield; give up; concede 2 invite; offer 3 let; allow; make 4 let sb. have sth. at a fair price 5 be inferior to; not as good as 6 give way; step aside 7 [expressing wishes] 
preposition [in a passive sentence to introduce the doer of the action]"
电子 / 電子,dian4zi3<br>"noun electron"
词典 / 詞典,ci2dian3<br>"noun dictionary"
作用 / 作用,zuo4yong4<br>"(N) effect"
练习 / 練習,lian4xi2<br>"1 practise 要多练习练习。 Yào duō liànxí liànxí. You must practise some more. 练习讲英语 Liànxí jiǎng Yīngyǔ practise speaking English 练习写文章 liànxí xiě wénzhāng practise writing 练习射击 liànxí shèjī practise marksmanship 写字得经常练习才能写好。 Xiězì děi jīngcháng liànxí cái néng xiě hǎo. Chinese calligraphy requires constant practice before you can master the art. 2 exercise (in a book) 做练习 Zuò liànxí do exercises 交练习 jiāo liànxí hand in exercises 算术练习 suànshù liànxí arithmetic exercises"
地图 / 地圖,di4tu2<br>"noun map"
镜 / 鏡,jing4<br>"noun 1 looking glass; mirror 2 lens; glass"
花园 / 花園,hua1yuan2<br>"noun flower garden; garden"
爱好 / 愛好,ai4hao4<br>"noun interest; hobby 
verb take great pleasure in; have sth. as a hobby; keen on"
认真 / 認真,ren4zhen1<br>"adjective conscientious; earnest; serious 
(-//-) verb take seriously; take to heart"
正式 / 正式,zheng4shi4<br>"(Vs) formal"
相信 / 相信,xiang1xin4<br>"(Vst) to believe"
碗 / 碗,wan3<br>"1 bowl 摆碗筷 bǎi wǎn-kuài put out bowls and chopsticks for a meal; set (or lay) the table 2 bowl-like thing"
洗 / 洗,xi3<br>"(V) to wash"
盘子 / 盤子,pan2zi5<br>"noun 1 tray; plate; dish 2 dated market rate; market situation; market quotation"
关 / 關,guan1<br>"noun 1 mountain pass; guarded passage 2 custom(s) house 3 area just outside a city gate 4 barrier; critical juncture 5 key part; crucial part; key factor 6 connection 7 (Guān) a surname 
verb 1 shut; close 2 turn off 3 shut in; lock up; confine 4 (of a business) close down 5 concern; involve 6 dated give out (or draw) (pay)"
继续 / 繼續,ji4xu4<br>"verb continue; go on 
noun continuation"
愿意 / 願意,yuan4yi5<br>"verb 1 wish; like; want 2 be willing; be ready"
方便 / 方便,fang1bian4<br>"1 convenient 这儿交通方便。 Zhèr jiāotōng fāngbiàn. Transportation is convenient here. 什么时候方便, 什么时候来。 Shénme shíhou fāngbiàn, shénme shíhou lái. Drop in whenever it's convenient. 这件事让我去办很方便。 Zhè jiàn shì ràng wǒ qù bàn hěn fāngbiàn. It's quite convenient for me to do that. 这儿说话不方便。 Zhèr shuōhuà bù fāngbiàn. It's not convenient to talk here. or This isn't the right place to talk. 把困难留给自己, 把方便让给别人 Bǎ kùnnan liúgěi zìjǐ, bǎ fāngbiàn ràng gěi biéren take the difficulties on oneself and make things easy for others 2 make things convenient for sb. 方便群众 fāngbiàn qúnzhòng make things convenient for the people 3 euphemistic have money to spare or lend 手头不方便 shǒutóu bù fāngbiàn have little money to spare 4 euphemistic inf. go to the lavatory 你要不要方便一下？ Nǐ yào bù yào fāngbiàn yīxià？ Do you want to use the lavatory (or wash your hands)？ 稍候, 我去方便方便。 Shāohòu, wǒ qù fāngbiàn fāngbiàn. Wait a few minutes. I'm just going to wash my hands."
同事 / 同事,tong2shi4<br>"(N) colleague, coworker"
夏天 / 夏天,xia4tian1<br>"(N) summer (season)"
有意思 / 有意思,you3 yi4si5<br>"1 significant; meaningful 他说的话很有意思。 Tā shuō de huà hěn yǒu yìsi. What he said was significant. 2 interesting; enjoyable 今天的晚会很有意思。 Jīntiān de wǎnhuì hěn yǒu yìsi. The performance this evening was most enjoyable."
意思 / 意思,yi4si5<br>"(N) meaning"
经理 / 經理,jing1li3<br>"noun manager; director 
verb handle; manage"
开会 / 開會,kai1//hui4<br>"verb hold or attend a meeting"
以后 / 以後,yi3hou4<br>"noun (of time) after; afterwards; later; hereafter"
部分 / 部分,bu4fen5<br>"noun part; section; share"
参加 / 參加,can1jia1<br>"verb 1 join (a group, organization, etc.); take part in (an activity) 2 give (advice, suggestion, etc.)"
考试 / 考試,kao3shi4<br>"verb (-//-) take an examination 
noun examination; exam; test"
一共 / 一共,yi1gong4<br>"adverb altogether; in all; all told"
解释 / 解釋,jie3shi4<br>"verb explain; expound; interpret"
一直 / 一直,yi1zhi2<br>"adverb 1 straight 一直走 Yīzhí zǒu go straight ahead; keep straight on 一直往西走 yī zhí wǎng xī zǒu go straight towards the west 从窗口一直望出去 cóng chuāngkǒu yīzhí wàng chūqu look straight ahead out of the window 2 continuously; all along; always; all the way 雪一直下了两天两夜。 Xuě yīzhí xià le liǎng tiān liǎng yè. It snowed for two days and nights on end. 我们一直配合得很好。 Wǒmen yīzhí pèihé de hěn hǎo. We have cooperated very well all along. 我一直在等你。 Wǒ yīzhí zài děng nǐ. I've been waiting for you all the time. 她一直把我送到车站。 Tā yīzhí bǎ wǒ sòng dào chēzhàn. She went with me all the way to the station. 从年初起一直到现在 Cóng niánchū qǐ yī zhídào xiànzài from the beginning of the year right up to now; ever since the beginning of the year"
着急 / 著急,zhao2//ji2<br>"adjective worried; excited; anxious"
找 / 找,zhao3<br>"1 look for; try to find; seek 他到处在找你。 Tā dàochù zài zhǎo nǐ. He's been looking for you all over the place. 找矿 Zhǎo kuàng look for mineral deposits 找到油田 zhǎodào yóutián discover an oil field 找出地震的规律 zhǎo chū dìzhèn de guīlǜ discover the laws of earthquakes 找工作 zhǎo gōngzuò look (or hunt) for a job 找机会 zhǎo jīhuì look for (or seek) an opportunity 找出路 zhǎo chūlù seek a way out 从世界观上找原因 cóng shìjièguān shàng zhǎo yuányīn seek the cause (of an error) in a person's world outlook 找答案 zhǎo dá'àn try to find the answer 2 want to see; call on; approach; ask for 有人找你。 Yǒu rén zhǎo nǐ. Someone wants to see you. 有人来找过我吗？ Yǒurén lái zhǎo guò wǒ ma？ Did anyone ask for me? 明天再来找你。 Míngtiān zài lái zhǎo nǐ. I'll call on you again tomorrow. 干吗不去找老杨帮忙？ Gànmá bù qù zhǎo lǎo yáng bāngmáng？ Why not go and ask Lao Yang for help? 找我有什么事？ Zhǎo wǒ yǒu shénme shì？ What can I do for you? or What do you want to see me about? 出了问题可得找你。 Chū le wèntí kě dé zhǎo nǐ. If anything goes wrong, we'll hold you responsible.  give change 这张唱片三十元, 我给了你五十元, 找我二十元。 Zhè zhāng chàngpiān sānshí yuán,  wǒ gěi le nǐ wǔshí yuán, zhǎo wǒ èrshí yuán. This disc costs 30 yuan and I gave you 50 yuan, so I want 20 yuan change. 她找我二十元。 Tā zhǎo wǒ èrshí yuán. She gave me 20 yuan change (or in change). 甭找了。 Béng zhǎo le. (to a taxi driver, etc.) Keep the change."
穿 / 穿,chuan1<br>"1 pierce through; penetrate 穿个窟窿 Chuān ge kūlong pierce (or bore) a hole 鞋底磨穿了。 Xiédǐ mó chuān le. The sole of the shoe was worn through. 2 pass through; cross 飞机穿云下降。 Fēijī chuān yún xiàjiàng. The plane descended through the clouds. 3 wear; put on; be dressed in 穿上工作服 Chuān shàng gōngzuòfú put on work clothes 穿灰大衣的那个女的 chuān huī dàyī de nàge nǚ de the woman in a grey overcoat 衣服穿旧了。 Yīfu chuān jiù le. The clothes show signs of wear. 这种鞋小点不要紧, 穿穿就大了。 Zhèzhǒng xié xiǎo diǎn bù yàojǐn, chuān chuān jiù dà le. It doesn't matter if the shoes feel a bit tight. They'll stretch with wearing. 穿得这么少, 不冷吗？ Chuān de zhème shǎo, bù lěng ma？ Aren't you cold with so little on? 4 string together 用珠子穿成一串项链 yòng zhūzi chuān chéng yī chuàn xiàngliàn string the beads into a necklace"
双 / 雙,shuang1<br>"adjective 1 two; twin; both; dual (opp. 单) 2 even (opp. 单) 3 double; twofold 
measure word [for shoes, socks, chopsticks, etc.] pair"
基本 / 基本,ji1ben3<br>"(Vs) basic"
舒服 / 舒服,shu1fu5<br>"1 comfortable 这把椅子又软又舒服。 Zhè bǎ yǐzi yòu ruǎn yòu shūfu. This chair is soft and comfortable. 在这儿睡得还舒服吗？ Zài zhèr shuì de hái shūfu ma？ Were you comfortable sleeping here？ 舒舒服服地过日子 shūshufufu de guò rìzi make a comfortable living; live in ease and comfort 2 be well 她今天不大舒服。 Tā jīntiān bù dà shūfu. She isn't well today. 我浑身不舒服。 Wǒ húnshēn bù shūfu. I feel sore all over."
高铁 / 高鐵,gao1tie3<br>"high speed rail"
站 / 站,zhan4<br>"stand; be on one's feet; take a stand 站起来 zhànqǐlai stand up; rise to one's feet 往后站站! Wǎng hòu zhàn zhàn! Stand back! 别拿椅子了, 就站着看吧。 Bié ná yǐzi le, jiù zhàn zhe kàn ba. Don't bother to get chairs. Let's just stand and watch. 我都站了一天了。 Wǒ dōu zhàn le yī tiān le. I've been on my feet all day. 站在党的立场上 Zhàn zài dǎng de lìchǎng shàng uphold the stand of the Party  1 stop; halt 这车中途不站。 Zhè chē zhōngtú bù zhàn. This bus makes no stops along the way. 东京是总统此次亚洲之行的第二站。 Dōngjīng shì zǒngtǒng cǐcì Yàzhōu zhī xíng de dì-èr zhàn. Tokyo is the President's second stop on his Asia trip. 2 station; stop 长途汽车站 Chángtú qìchē zhàn bus station 我下一站下车。 Wǒ xià yī zhàn xiàchē. I get off at the next stop. 3 station or centre for rendering certain services 供应站 gōngyìngzhàn supply centre"
骑 / 騎,qi2<br>"1 ride (an animal or bicycle, etc.); sit on the back of 骑马 qímǎ ride a horse; be on horseback 骑车回家 qíchē huíjiā go home by bicycle 善骑 shàn qí excel in horsemanship; be a good rider 这摩托车你骑得怎么样？ Zhè mótuōchē nǐ qí de zěnmeyàng？ How do you get on with the motorcycle? 车太高, 我女儿骑不上去。 Chē tài gāo, wǒ nǚ'ér qí bù shàngqu. The bicycle is too high for my daughter to ride. 坡儿太陡, 车骑不上去。 Pōr tài dǒu, chēqí bù shàngqu. The slope is too steep to cycle uphill. 骑在人民头上作威作福 Qí zài rénmín tóu shàng zuòwēizuòfú ride roughshod over the people 2 horse or horse rider ▶ 坐骑 zuòqí 3 cavalry-man; cavalry ▶ 铁骑 tiěqí"
自行车 / 自行車,zi4xing2che1<br>"noun bicycle; bike"
上下 / 上下,shang4xia4<br>"noun 1 high and low 2 from top to bottom; up and down 3 relative superiority or inferiority 4 [after round numbers] about; or so; or thereabouts 
adverb up and down 
verb go up or down"
瘦 / 瘦,shou4<br>"(Vs) thin"
公斤 / 公斤,gong1jin1<br>"(N) kilogram"
斤 / 斤,jin1<br>"measure word jin (a traditional unit of weight, each containing 10 liang (市两) or 16 old liang (旧市两) and equivalent to 0.5 kilogram or 1.102 pounds) 
noun archaic axe"
需要 / 需要,xu1yao4<br>"noun need 
verb need; want; require; demand"
休息 / 休息,xiu1xi2<br>"(Vi) to take a rest"
估计 / 估計,gu1ji4<br>"verb 1 estimate; appraise; reckon 2 seem; look as if"
药 / 藥,yao4<br>"noun 1 medicine; medication; drug; lotion 2 certain chemicals 
verb 1 literary cure with medicine 2 kill with poison"
一些 / 一些,yi1xie1<br>"measure word a number of; certain; some; a few; a little"
法律 / 法律,fa3lü4<br>"(N) law"
大厅 / 大廳,da4ting1<br>"noun hall"
地下室 / 地下室,di4xia4shi4<br>"basement; cellar"
扶梯 / 扶梯,fu2ti1<br>"noun 1 staircase 2 dialect ladder"
总是 / 總是,zong3shi4<br>"always"
节目 / 節目,jie2mu4<br>"noun programme; item (on a programme); number"
锻炼 / 鍛煉,duan4lian4<br>"verb 1 take (or do) exercise; undergo physical training; exercise 2 temper; steel; toughen"
普通话 / 普通話,pu3tong1hua4<br>"noun putonghua; mandarin; common speech (of the Chinese language); standard Chinese (pronunciation)"
讲故事 / 講故事,jiang3 gu4shi5<br>"tell a story"
存 / 存,cun2<br>"(V) to save"
工厂 / 工廠,gong1chang3<br>"noun factory; mill; plant; works"
点心 / 點心,dian3xin5<br>"noun dim sum; light refreshments; pastry; snacks"
必须 / 必須,bi4xu1<br>"adverb must; have to"
没什么 / 沒什麼,mei2shen2me5<br>"verb 1 it doesn't matter; it's nothing; that's all right; never mind 2 polite expression don't mention it; you're welcome"
手表 / 手錶,shou3biao3<br>"noun wrist watch; watch"
发现 / 發現,fa1xian4<br>"verb 1 discover; find; detect; identify 2 find; realize; perceive; notice; be aware of 
noun discovery; find"
原因 / 原因,yuan2yin1<br>"(N) reason"
经历 / 經歷,jing1li4<br>"noun experience 
verb go through; undergo; experience"
生活 / 生活,sheng1huo2<br>"(N) life"
西方人 / 西方人,Xi1fang1ren2<br>"1 Westerner 2 Occidental"
铁轨 / 鐵軌,tie3gui3<br>"railway track"
生产 / 生產,sheng1chan3<br>"verb 1 produce; manufacture 2 give birth to a child"
以为 / 以為,yi3wei2<br>"verb think; believe; consider [usually erroneously]"
伤害 / 傷害,shang1hai4<br>"verb injure; harm; hurt"
冷气 / 冷氣,leng3qi4<br>"noun 1 cold (or cool) air 2 air conditioning"
空调 / 空調,kong1tiao2<br>"noun abbreviation 1 air conditioning 2 = 25036544空气调节器kong1qi4tiao2jie2qi4空气调节器 air conditioner"
情况 / 情況,qing2kuang4<br>"noun 1 circumstances; situation; condition; state of affairs 2 military situation"
相同 / 相同,xiang1tong2<br>"(Vs) identical"
自然 / 自然,zi4ran2<br>"(N) nature"
已经 / 已經,yi3jing1<br>"adverb already 天已经黑了。 Tiān yǐjīng hēi le. It's already dark. 这样已经不错了。 Zhèyàng yǐjīng bù cuò le. It's good enough as it is. 这点前面已经说过了。 Zhè diǎn qiánmian yǐjīng shuō guò le. This has been dealt with above. 已经两点了。 Yǐjīng liǎng diǎn le. It's already two o'clock. 我们已经十年不见了。 Wǒmen yǐjīng shí nián bù jiàn le. It's ten years since we last saw each other."
报道 / 報道,bao4dao4<br>"verb report (news); cover 
noun news report; story"
信任 / 信任,xin4ren4<br>"(Vst) to trust"
发明 / 發明,fa1ming2<br>"verb 1 invent 2 literary expound; elucidate; explain 
noun invention"
会议室 / 會議室,hui4yi4shi4<br>"meeting (or conference) room; council chamber"
出来 / 出來,//chu5//lai5<br>"verb 1 [after a verb, indicating motion out towards the speaker] 2 [after a verb, indicating the completion of an action] 3 [after a verb, indicating revealing, detecting, etc.]"
还 / 還,huan2<br>"verb 1 go (or come) back 2 give back; return; repay 3 give or do sth. in return"
家乡 / 家鄉,jia1xiang1<br>"noun hometown; native place"
万 / 萬,wan4<br>"number 1 ten thousand 2 a very great number; myriad 
adverb [in the negative] absolutely; under all circumstances 
noun (Wàn) a surname"
世界 / 世界,shi4jie4<br>"(N) the world"
电动 / 電動,dian4dong4<br>"adjective motor-driven; power-driven; power-operated; electric"
关系 / 關係,guan1xi5<br>"noun 1 connections; relations; relationship 2 [often used correlatively with 没有, 有] relevance; bearing; influence; significance 3 [usu. with 由于 or 因为 to indicate cause or reason] 4 credentials showing membership in or affiliation with an organization 5 euphemistic (extramarital) sexual relations 
verb concern; affect; have a bearing on; have to do with"
酒 / 酒,jiu3<br>"noun alcoholic drink; wine; liquor; spirits"
层 / 層,ceng2<br>"measure word 1 storey; floor 2 a component part in a sequence 3 layer; stratum 
noun layer; tier"
明白 / 明白,ming2bai2<br>"(Vst) to understand"
了解 / 了解,liao3jie3<br>"(Vst) to understand"
组织 / 組織,zu3zhi1<br>"noun 1 organization; organized system 2 textile weave 3 physiology tissue 
verb organize; form"
长 / 長,zhang3<br>"adjective 1 older; elder; senior 2 eldest; oldest 3 chief; head 
verb 1 grow; develop 2 come into being; begin to grow; form 3 acquire; enhance; increase"
手 / 手,shou3<br>"(N) hand"
有些 / 有些,you3xie1<br>"pronoun some 
verb have (some, a little) 
adverb somewhat; rather"
变 / 變,bian4<br>"verb 1 become different; change 2 change into; become 3 transform; change; alter 4 unexpected turn of events 5 sell off (property) 6 be flexible 7 changeable; changed 
noun abbreviation VARIANT OF 17608960变文bian4wen2变文 literature popular form of narrative literature that flourished in the Tang Dynasty (618-907), with alternate prose and rhyme for recitation and singing (often on Buddhist themes)"
胖 / 胖,pang4<br>"(Vs) fat"
认为 / 認為,ren4wei2<br>"verb think; consider; hold; deem"
刚 / 剛,gang1<br>"firm; strong; indomitable 他的性情太刚。 Tā de xìngqíng tài gāng. He has a very strong character. 她的舞蹈柔中有刚。 Tā de wǔdǎo róu zhōng yǒu gāng. There is strength as well as grace in her dancing.  adverb 1 just; exactly 这双鞋大小刚合适。 Zhè shuāng xié dàxiǎo gāng héshì. This pair of shoes is just the right size. or This pair of shoes fits perfectly. 2 barely; only; just 我参加八路军时, 刚跟枪一般高。 Wǒ cānjiā Bālùjūn shí, gāng gēn qiāng yībān gāo. When I joined the Eighth Route Army, I was barely the height of a rifle. 天还很黑, 刚能看出人的轮廓。 Tiān hái hěn hēi, gāng néng kànchū rén de lúnkuò. It was still dark and I could just make out the outlines of people. 他刚十八岁, 有了选举权。 Tā gāng shíbā suì, yǒu le xuǎnjǔquán. He just turned 18 and has the right to vote. 他回家时刚碰上大雨。 Tā huíjiā shí gāng pèngshang dàyǔ. On his way home, he got caught in the rainstorm. 3 only a short while ago; just 她刚走。 Tā gāng zǒu. She just left. 她刚来过。 Tā gāng lái guò. She was here just now. 他刚到农村时, 连麦子韭菜都分不清。 Tā gāng dào nóngcūn shí, lián màizi jiǔcài dōu fēn bù qīng. When he first came to the countryside, he couldn't tell wheat from Chinese chives."
桥 / 橋,qiao2<br>"noun 1 bridge 2 (Qiáo) a surname"
灵活 / 靈活,ling2huo2<br>"adjective 1 nimble; agile; quick 2 flexible; elastic"
生存 / 生存,sheng1cun2<br>"verb subsist; exist; live; survive (opp. 死亡)"
联系 / 聯繫,lian2xi4<br>"noun contact; touch; connection; relation 
verb 1 arrange; get in touch with 2 integrate; relate; link"
深 / 深,shen1<br>"(Vs) deep"
种类 / 種類,zhong3lei4<br>"noun kind; type; variety"
专家 / 專家,zhuan1jia1<br>"noun expert; specialist"
在乎 / 在乎,zai4hu1<br>"(Vst) to care about"
秒钟 / 秒鐘,miao3zhong1<br>"(time) second"
历史 / 歷史,li4shi3<br>"noun 1 history 2 past events 3 personal records 4 history (as a course of study) 5 historical record (or document, data)"
害怕 / 害怕,hai4pa4<br>"(Vs) to be afraid of, to fear"
只能 / 只能,zhi3neng2<br>"1 can only 2 obliged to do sth 3 to have no other choice"
选择 / 選擇,xuan3ze2<br>"noun choice 
verb select; choose; opt"
有名 / 有名,you3ming2<br>"well-known; famous; celebrated 有名的跳水运动员 Yǒumíng de tiàoshuǐ yùndòngyuán a famous diver 有名的科学家 yǒumíng de kēxuéjiā a celebrated scientist"
超市 / 超市,chao1shi4<br>"supermarket"
水果 / 水果,shui3guo3<br>"fruit"
除了 / 除了,chu2le5<br>"(Prep) except for, other than"
报纸 / 報紙,bao4zhi3<br>"noun 1 newspaper 2 newsprint"
可怕 / 可怕,ke3pa4<br>"(Vs) scary"
足够 / 足夠,zu2gou4<br>"verb enough; ample; sufficient"
压力 / 壓力,ya1li4<br>"noun 1 physics pressure (force) 2 overwhelming force; pressure 3 burden; strain"
假期 / 假期,jia4qi1<br>"noun vacation; holiday; period of leave"
全职 / 全職,quan2zhi2<br>"adjective (of a job) full-time (opp. 兼职)"
兼职 / 兼職,jian1zhi2<br>"noun secondment; concurrent post; part-time job (opp. 全职) 
verb (-//-) hold two or more posts concurrently; moonlight"
唱歌 / 唱歌,chang4ge1<br>"sing (a song) 她很会唱歌。 Tā hěn huì chànggē. She is a good singer."
画画儿 / 畫畫兒,hua4//hua4r5<br>"verb colloquial draw a picture"
踢足球 / 踢足球,Ti1 zu2qiu2<br>"play football"
音乐 / 音樂,yin1yue4<br>"noun music"
水平 / 水平,shui3ping2<br>"noun standard; level 
adjective horizontal; level"
特别 / 特別,te4bie2<br>"1 special; particular; out of the ordinary 特别开支 Tèbié kāizhī special expenses 特别的爱好 tèbié de àihào a special hobby 这种花每当夜晚就散发出一种特别的香味儿。 Zhèzhǒng huā měidāng yèwǎn jiù sànfā chū yī zhǒng tèbié de xiāngwèir. As evening approaches, this flower gives off a distinctive fragrance. 这楼的设计没有什么特别的地方。 Zhè lóu de shèjì méiyǒu shénme tèbié de dìfang. The design of this building is nothing out of the ordinary. 他的口音很特别。 Tā de kǒuyin hěn tèbié. He has a peculiar accent. 他的脾气很特别。 Tā de píqi hěn tèbié. He has a peculiar temperament. 2 adverb especially; particularly 工作特别努力 Gōngzuò tèbié nǔlì be especially hardworking 建设一支特别能战斗的队伍 jiànshè yī zhī tèbié néng zhàndòu de duìwu train a contingent of especially good fighters 质量特别好 zhìliàng tèbié hǎo be of extra fine quality 今天特别热。 Jīntiān tèbié rè. It's extremely hot today. 老红军的报告特别有教育意义。 Lǎohóngjūn de bàogào tèbié yǒu jiàoyù yìyì. The veteran Red Army man's talk was particularly instructive. 这里最需要医务人员, 特别是外科医生。 Zhèlǐ zuì xūyào yīwù rényuán, tèbié shì wàikē yīshēng. We're very much in need of medical workers, especially surgeons. 3 adverb for a special purpose; specially 这些花是我特别为你摘的。 Zhèxiē huā shì wǒ tèbié wèi nǐ zhāi de. I picked these flowers specially for you. 他临走时特别去向女主人道谢。 Tā línzǒu shí tèbié qùxiàng nǚzhǔrén dàoxiè. He made a point of thanking his hostess before he left the party."
句子 / 句子,ju4zi5<br>"noun sentence"
电子邮件 / 電子郵件,dian4zi3you2jian4<br>"email"
其他 / 其他,qi2ta1<br>"(Det) other, the other, the remaining"
原委 / 原委,yuan2wei3<br>"noun ins and outs; origin and development; whole story; all the details"
味道 / 味道,wei4dao4<br>"(N) taste, flavor"
颜色 / 顏色,yan2se4<br>"noun 1 colour; colourity 2 countenance; facial expression 3 countenance; appearance; looks"
只要 / 只要,zhi3yao4<br>"(Conj) as long as"
买卖 / 買賣,mai3mai4<br>"1 buying and selling 2 business 3 business transactions M: 桩zhuāng [桩] / 次cì [次]"
例如 / 例如,li4ru2<br>"(Vst) for example"
关心 / 關心,guan1xin1<br>"verb concerned about; show solicitude for; care for; express interest in"
身体 / 身體,shen1ti3<br>"noun 1 body 2 health"
担心 / 擔心,dan1//xin1<br>"verb worry; feel anxious"
没事 / 沒事,mei2//shi4<br>"verb 1 have nothing to do; be free; be at a loose end 2 unemployed; out of work 3 out of danger; nothing serious 4 have no responsibility 5 polite expression it doesn't matter; it's nothing; that's all right; never mind"
感冒 / 感冒,gan3mao4<br>"(Vp) to catch/have a cold"
发烧 / 發燒,fa1shao1<br>"verb 1 have (or run) a fever; have (or run) a temperature"
摔倒 / 摔倒,shuai1dao3<br>"fall over"
迟到 / 遲到,chi2//dao4<br>"verb be (or come, arrive) late"
生气 / 生氣,sheng1//qi4<br>"verb take offence; get angry 
noun biod; vigour; vim; vitality"
反义词 / 反義詞,fan3yi4ci2<br>"noun linguistics antonym (opp. 同义词, 近义词)"
医生 / 醫生,yi1sheng1<br>"noun doctor; medical man"
比特币 / 比特幣,bi3te4bi4<br>"Bitcoin (cryptocurrency)"
噬 / 噬,shi4<br>"1 to devour 2 to bite"
手套 / 手套,shou3tao4<br>"1 glove 2 mitten M: 双shuāng [双] / 只zhī [只]"
衬衫 / 襯衫,chen4shan1<br>"noun 1 shirt 2 blouse"

